Código_es,hog_pond,pob_pond,edad_pond,pe_hog_pon,renper_pon,renhog_pon,dens_pond,por15_pon,por65_pon,por1664pon,poresp_pon,porext_pon,poractivid,poract_pon,%1mujsol_p,%1hactsolp,%1mujmay_p,%1hommay_p,%1mujmad_p,%1hompad_p,%2adusol_p,%2adusma_p,%2adumen_p,%2adu2mn_p,%2adu3mn_p,%2adu1jv_p,%2a1jv1m_p,%2a1jv2m_p,%3adul_pon,%2ad2jv_p,%2a2j1m_p,%2a2j2m_p,%4adulto_p,%5adulto_p,%15perso_p,%menas_p
"504","614","1449",45.483,2.432,16586.178,40427.800,222.516,0.115,0.230,0.638,0.934,0.049,8.997,0.475,0.091,0.095,0.115,0.031,0.013,0.001,0.135,0.135,0.045,0.027,0.002,0.053,0.011,0.002,0.079,0.036,0.003,0.001,0.040,0.057,0.001,0.000
"415","642","1585",43.517,2.589,28475.130,73319.104,204.789,0.162,0.224,0.611,0.911,0.085,5.481,0.456,0.091,0.089,0.097,0.030,0.024,0.006,0.107,0.146,0.046,0.058,0.017,0.051,0.020,0.009,0.078,0.043,0.005,0.000,0.032,0.042,0.001,0.000
"153","634","1606",44.104,2.639,25105.903,66497.181,215.350,0.154,0.233,0.609,0.920,0.078,8.194,0.454,0.069,0.065,0.103,0.031,0.016,0.004,0.104,0.155,0.047,0.048,0.020,0.069,0.016,0.006,0.078,0.064,0.008,0.000,0.033,0.049,0.000,0.000
"422","650","1673",37.489,2.593,19409.848,50284.070,85.695,0.231,0.118,0.642,0.849,0.142,6.752,0.475,0.066,0.072,0.117,0.031,0.016,0.005,0.106,0.148,0.042,0.038,0.013,0.069,0.020,0.006,0.086,0.056,0.009,0.001,0.039,0.045,0.000,0.000
"501","663","1817",41.032,2.822,23800.111,64918.268,104.531,0.166,0.113,0.720,0.903,0.094,5.499,0.536,0.055,0.072,0.074,0.033,0.021,0.006,0.101,0.152,0.051,0.051,0.018,0.074,0.029,0.012,0.082,0.075,0.010,0.004,0.033,0.046,0.001,0.000
"417","634","1581",33.577,2.492,22115.126,56297.317,10.299,0.274,0.053,0.659,0.805,0.180,8.466,0.489,0.067,0.065,0.099,0.029,0.020,0.001,0.103,0.189,0.050,0.045,0.006,0.067,0.017,0.001,0.083,0.057,0.003,0.000,0.033,0.031,0.000,0.001
"416","607","1651",33.986,2.759,23336.045,62647.112,10.422,0.279,0.055,0.666,0.819,0.178,7.470,0.494,0.067,0.075,0.093,0.028,0.018,0.005,0.097,0.161,0.047,0.056,0.020,0.051,0.025,0.011,0.087,0.047,0.007,0.001,0.035,0.061,0.001,0.000
"418","613","1454",33.066,2.355,18368.273,44630.733,10.142,0.268,0.052,0.648,0.795,0.175,8.466,0.481,0.070,0.069,0.106,0.031,0.016,0.001,0.101,0.196,0.047,0.037,0.005,0.073,0.014,0.002,0.088,0.046,0.002,0.000,0.036,0.023,0.000,0.000
"803","677","1604",33.987,2.445,18248.352,44667.055,10.423,0.276,0.053,0.667,0.815,0.182,5.976,0.495,0.090,0.086,0.115,0.035,0.022,0.002,0.122,0.151,0.059,0.044,0.005,0.058,0.020,0.002,0.071,0.044,0.002,0.000,0.029,0.039,0.000,0.000
"421","603","1472",33.986,2.491,14051.328,34861.635,10.423,0.277,0.054,0.664,0.816,0.181,8.466,0.497,0.078,0.081,0.113,0.034,0.024,0.000,0.123,0.154,0.047,0.031,0.008,0.059,0.017,0.005,0.093,0.038,0.004,0.000,0.042,0.040,0.000,0.000
"420","651","1556",34.055,2.433,15087.507,36796.837,10.445,0.276,0.053,0.667,0.817,0.182,8.466,0.496,0.075,0.077,0.121,0.032,0.023,0.001,0.117,0.177,0.051,0.040,0.007,0.054,0.015,0.005,0.083,0.036,0.003,0.001,0.034,0.035,0.000,0.000
"419","647","1592",33.712,2.476,16723.066,42369.995,10.339,0.274,0.052,0.661,0.810,0.179,7.470,0.490,0.062,0.070,0.113,0.032,0.020,0.003,0.097,0.188,0.046,0.044,0.006,0.064,0.017,0.007,0.090,0.047,0.003,0.000,0.036,0.032,0.000,0.000
"357","816","2286",37.393,2.798,10049.692,28968.183,149.822,0.139,0.129,0.700,0.653,0.316,6.456,0.522,0.060,0.103,0.058,0.023,0.024,0.004,0.121,0.082,0.058,0.035,0.012,0.074,0.038,0.011,0.074,0.057,0.010,0.003,0.038,0.074,0.000,0.000
"356","786","2303",37.894,3.065,9129.263,28080.763,151.832,0.141,0.132,0.710,0.663,0.319,5.380,0.529,0.064,0.108,0.048,0.018,0.024,0.004,0.117,0.062,0.050,0.037,0.020,0.073,0.041,0.017,0.078,0.058,0.014,0.006,0.048,0.096,0.000,0.000
"354","512","1332",38.164,2.647,13464.717,35872.685,152.913,0.141,0.131,0.714,0.667,0.322,10.222,0.532,0.061,0.058,0.108,0.032,0.013,0.000,0.107,0.153,0.039,0.027,0.003,0.089,0.021,0.005,0.081,0.065,0.004,0.002,0.035,0.062,0.000,0.000
