Código_es,hog_pond,pob_pond,edad_pond,pe_hog_pon,renper_pon,renhog_pon,dens_pond,por15_pon,por65_pon,por1664pon,poresp_pon,porext_pon,poractivid,poract_pon,%1mujsol_p,%1hactsolp,%1mujmay_p,%1hommay_p,%1mujmad_p,%1hompad_p,%2adusol_p,%2adusma_p,%2adumen_p,%2adu2mn_p,%2adu3mn_p,%2adu1jv_p,%2a1jv1m_p,%2a1jv2m_p,%3adul_pon,%2ad2jv_p,%2a2j1m_p,%2a2j2m_p,%4adulto_p,%5adulto_p,%15perso_p,%menas_p
"207","717","1329",42.192,1.964,22783.640,46176.190,116.832,0.075,0.172,0.733,0.645,0.337,8.928,0.547,0.188,0.229,0.060,0.037,0.006,0.001,0.182,0.071,0.026,0.011,0.001,0.022,0.003,0.000,0.052,0.016,0.000,0.000,0.028,0.035,0.001,0.000
"111","733","1351",41.980,1.953,20533.699,41507.293,116.237,0.072,0.170,0.729,0.644,0.333,10.602,0.544,0.184,0.236,0.059,0.034,0.007,0.001,0.188,0.063,0.022,0.010,0.000,0.025,0.004,0.000,0.053,0.013,0.000,0.000,0.029,0.037,0.001,0.000
"206","685","1356",41.359,2.204,30123.185,71118.315,132.574,0.117,0.164,0.702,0.736,0.246,5.834,0.521,0.165,0.191,0.069,0.042,0.012,0.003,0.155,0.095,0.030,0.021,0.005,0.033,0.007,0.002,0.056,0.025,0.001,0.000,0.023,0.039,0.000,0.001
"513","822","1533",42.495,1.976,26277.361,53671.258,117.665,0.075,0.172,0.738,0.651,0.338,9.486,0.551,0.191,0.224,0.062,0.035,0.011,0.000,0.182,0.071,0.025,0.014,0.002,0.029,0.004,0.001,0.048,0.019,0.001,0.000,0.025,0.029,0.000,0.000
"404","634","1293",45.136,2.183,30442.774,71060.990,104.195,0.094,0.234,0.661,0.778,0.212,8.514,0.493,0.166,0.168,0.087,0.042,0.015,0.002,0.148,0.100,0.029,0.023,0.006,0.032,0.006,0.001,0.062,0.025,0.003,0.000,0.029,0.042,0.000,0.000
"405","577","1174",42.854,2.188,33967.913,87906.464,120.229,0.121,0.187,0.685,0.800,0.192,6.672,0.509,0.157,0.158,0.091,0.050,0.016,0.004,0.138,0.111,0.024,0.025,0.006,0.031,0.009,0.001,0.069,0.026,0.003,0.000,0.029,0.040,0.000,0.001
"110","698","1301",42.038,1.919,22985.268,46186.365,110.769,0.077,0.185,0.695,0.666,0.296,14.076,0.522,0.188,0.210,0.071,0.033,0.009,0.000,0.175,0.070,0.028,0.011,0.002,0.028,0.002,0.000,0.051,0.015,0.000,0.000,0.024,0.029,0.000,0.000
"109","606","1163",43.700,1.984,24471.458,50427.779,102.074,0.090,0.223,0.647,0.746,0.216,14.004,0.483,0.175,0.178,0.084,0.032,0.010,0.000,0.159,0.089,0.035,0.022,0.002,0.030,0.003,0.000,0.059,0.019,0.000,0.000,0.024,0.026,0.000,0.000
"406","500","1063",41.362,2.273,34200.621,92821.431,131.219,0.152,0.159,0.680,0.851,0.141,9.183,0.509,0.153,0.141,0.094,0.048,0.011,0.003,0.126,0.121,0.026,0.025,0.007,0.035,0.005,0.004,0.080,0.028,0.003,0.000,0.032,0.044,0.000,0.001
"212","585","1106",43.372,1.960,24081.000,50160.681,101.733,0.086,0.220,0.644,0.740,0.216,16.578,0.481,0.164,0.166,0.089,0.034,0.005,0.000,0.156,0.095,0.034,0.023,0.001,0.032,0.002,0.000,0.063,0.021,0.001,0.000,0.021,0.027,0.000,0.000
"213","560","1106",46.677,2.067,24424.198,52346.849,92.680,0.106,0.281,0.597,0.868,0.112,16.308,0.444,0.160,0.140,0.108,0.034,0.009,0.000,0.143,0.113,0.040,0.027,0.002,0.037,0.003,0.000,0.067,0.025,0.001,0.000,0.027,0.027,0.000,0.000
"310","579","1248",42.887,2.214,25810.621,58385.697,180.109,0.128,0.184,0.677,0.861,0.126,13.458,0.504,0.139,0.130,0.117,0.037,0.009,0.000,0.136,0.123,0.035,0.026,0.005,0.038,0.003,0.000,0.076,0.024,0.001,0.000,0.032,0.036,0.000,0.000
