route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
8__416___,CRTM,416,VALDEMORO (Hosp.)-S. M. DE LA VEGA-TITULCIA-COLMENAR DE OREJA,,3,https://www.crtm.es/8__416___.aspx,8EBF42,FFFFFF
8__421___,CRTM,421,MADRID (Legazpi)-PINTO,,3,https://www.crtm.es/8__421___.aspx,8EBF42,FFFFFF
8__422___,CRTM,422,MADRID (Legazpi)-VALDEMORO,,3,https://www.crtm.es/8__422___.aspx,8EBF42,FFFFFF
8__423___,CRTM,423,MADRID (Estación Sur)-ARANJUEZ,,3,https://www.crtm.es/8__423___.aspx,8EBF42,FFFFFF
8__424___,CRTM,424,MADRID (Legazpi)-VALDEMORO (El Restón),,3,https://www.crtm.es/8__424___.aspx,8EBF42,FFFFFF
8__425___,CRTM,425,VALDEMORO (Hospital)-CIEMPOZUELOS,,3,https://www.crtm.es/8__425___.aspx,8EBF42,FFFFFF
8__426___,CRTM,426,MADRID (Legazpi)-CIEMPOZUELOS,,3,https://www.crtm.es/8__426___.aspx,8EBF42,FFFFFF
8__427___,CRTM,427,MADRID (Villaverde Bajo-Cruce)-ÁREA EMPRESARIAL ANDALUCIA-PINTO,,3,https://www.crtm.es/8__427___.aspx,8EBF42,FFFFFF
8__428___,CRTM,428,GETAFE-VALDEMORO,,3,https://www.crtm.es/8__428___.aspx,8EBF42,FFFFFF
8__429___,CRTM,429,MADRID (Legazpi)-ARANJUEZ (PAU de la Montaña),,3,https://www.crtm.es/8__429___.aspx,8EBF42,FFFFFF
8__430___,CRTM,430,ARANJUEZ-VILLAREJO DE SALVANES,,3,https://www.crtm.es/8__430___.aspx,8EBF42,FFFFFF
8__432___,CRTM,432,MADRID (Villaverde Bajo-Cruce)-LEGANÉS,,3,https://www.crtm.es/8__432___.aspx,8EBF42,FFFFFF
8__441___,CRTM,441,MADRID (Plaza Elíptica)-GETAFE (Sector III-Paseo Juan José Rosón),,3,https://www.crtm.es/8__441___.aspx,8EBF42,FFFFFF
8__442___,CRTM,442,MADRID (Plaza Elíptica)-GETAFE (Juan de la Cierva),,3,https://www.crtm.es/8__442___.aspx,8EBF42,FFFFFF
8__443___,CRTM,443,MADRID (Plaza Elíptica)-GETAFE (Barrio Las Margaritas),,3,https://www.crtm.es/8__443___.aspx,8EBF42,FFFFFF
8__444___,CRTM,444,MADRID (Plaza Elíptica)-GETAFE (Sector III-Islas Canarias),,3,https://www.crtm.es/8__444___.aspx,8EBF42,FFFFFF
8__446___,CRTM,446,MADRID (Plaza Elíptica)-GETAFE (El Bercial),,3,https://www.crtm.es/8__446___.aspx,8EBF42,FFFFFF
8__447___,CRTM,447,MADRID (Legazpi)-GETAFE (Hospital),,3,https://www.crtm.es/8__447___.aspx,8EBF42,FFFFFF
8__448___,CRTM,448,MADRID (Legazpi)-GETAFE (Por Villaverde),,3,https://www.crtm.es/8__448___.aspx,8EBF42,FFFFFF
