OBJECTID,IDFEMPLAZAMIENTO,IDEMPLAZAMIENTO,Emplazamiento,Número de plazas,Tarifa,Municipio,Zona Tarifaria,Código de provincia,Código de municipio,Latitud,Longitud,x,y
96,28_079_4,4,El Goloso,45,Libre,Madrid,B1,28,079,40.558686,-3.71375,-3.71374999499994,40.5586856900001
97,28_079_9,9,El Pozo,177,Libre,Madrid,A,28,079,40.375703,-3.656052,-3.65605230499995,40.375702533
98,28_049_3,3,Fuencarral,70,Libre,Madrid,A,28,049,40.502054,-3.682642,-3.68264227699996,40.502054151
99,28_058_24,24,Fuenlabrada,151,Libre,Fuenlabrada,B2,28,058,40.282192,-3.798758,-3.79875758399993,40.2821917310001
100,28_061_36,36,Galapagar - La Navata,62,Libre,Galapagar,B3,28,061,40.599964,-3.981616,-3.98161643099996,40.599963959
101,28_065_16,16,Getafe - Industrial,27,Libre,Getafe,B1,28,065,40.30545,-3.707927,-3.70792704799993,40.305449772
102,28_065_15,15,Getafe - Sector 3,996,Libre,Getafe,B1,28,065,40.288281,-3.737771,-3.73777133099998,40.288281109
103,28_073_25,25,Humanes,236,Libre,Humanes de Madrid,B3,28,073,40.255684,-3.828643,-3.82864288199994,40.2556837450001
104,28_079_7,7,La Garena,552,Libre,Alcalá de Henares,B3,28,079,40.480412,-3.394429,-3.39442905399994,40.4804116390001
105,28_014_12,12,La Poveda,237,Libre,Arganda del Rey,B3,28,014,40.3187,-3.47748,-3.47748044399998,40.3187002720001
