cod_est,nombre_est,Densidad,Edad_Promedio,POB_TOT,POB_men15,POB_16_64,POB_mas64,POB_esp,POB_ext,POB_ACT
"606",Usera,13114.85975194,42.2121798117241,"30838","4012","22408","4418","18403","12435","14170"
"102",Valdeacederas,8469.52328361,44.4917144585185,"23770","2277","16869","4624","18358","5412","10664"
"919",Valdebernardo,1888.18407045,44.2727213516667,"12381","1194","9140","2047","11315","1066","5782"
"130",Valdecarros,1304.03868629,34.36042473,"9324","2016","6847","461","7788","1536","4331"
"717",Valdezarza,5900.18687947,45.7863058233333,"16622","2021","10718","3883","14132","2490","6771"
"407",Velázquez,8698.19269656,46.3001601772414,"19374","1947","12769","4658","15016","4358","8069"
"201",Ventas,9540.3792977,46.8842320340741,"20392","2113","13323","4956","17153","3239","8418"
"903",Ventilla,7275.1067268,43.0866834409091,"23108","2610","16572","3926","17756","5352","10478"
"309",Ventura Rodríguez,9349.29019372,44.5430943644444,"20595","1534","15481","3580","15062","5533","9785"
"621",Vicente Aleixandre,1543.30042033,47.74222729875,"4999","544","2998","1457","4497","502","1893"
"920",Vicálvaro,7755.12304814,44.6928696670833,"18141","2242","11894","4005","13800","4341","7517"
"126",Villa de Vallecas,7700.38762763,43.0754336432,"21632","2931","14621","4080","16571","5061","9243"
"357",Villaverde Alto,7687.88274006,41.7931918668421,"16555","2433","11538","2584","10936","5619","7295"
"355",Villaverde Bajo-Cruce,10565.62204568,44.9446582761539,"21810","2985","14411","4414","14858","6952","9109"
"916",Vinateros,8025.1530427,50.2941881859259,"18753","1865","11184","5704","16241","2512","7065"
"524",Vista Alegre,16490.83379165,44.3203697894286,"37474","4580","26135","6759","24554","12920","16527"
"209",Ópera,4052.08059789,44.4597706194118,"14685","954","11038","2693","10365","4320","6978"
