cod_est;nom_est;edad_media;hog_tot;pob_tot;pers_hog;renta_pers;renta_hog;%pob_ext;%pob_15;%pob_1664;%pob_65;densidad;%hog_1;%hog_2;%hog_3;%hog_4;%hog_5;%hog_6;%hog_7;%hog_8;%hog_9;%hog_10;%hog_11;%hog_12;%hog_13;%hog_14;%hog_15;%hog_16;%hog_17;%hog_18;%hog_19;%hog_20;%hog_21;%hog_22;Eventodromo;conducta;por_pobact;dem_mens_promedio_24_miles;nu_lineas;nu_lin_cerc;nu_businter;in_bus_lr;in_renfe_lr;in_oficinattp;in_eventos;in_parkdisgra;in_parkdispag
125;Sierra de Guadalupe;43,02;4243;10989;2,6;12131,95;32686,89;0,1978;0,1180;0,6840;0,1726;145,69;0,0717;0,0873;0,0741;0,0262;0,0213;0,0024;0,1281;0,1195;0,0487;0,0350;0,0072;0,0800;0,0206;0,0067;0,0749;0,0568;0,0062;0,0034;0,0427;0,0615;0,0004;0,0001;;labest;0,4390;258,81;1;3;0;0;0;0;0;0;1
126;Villa de Vallecas;43,56;8025;20459;2,5;11287,93;29844,04;0,2220;0,1297;0,6799;0,1829;273,64;0,0697;0,0814;0,0966;0,0304;0,0211;0,0025;0,1250;0,1261;0,0515;0,0361;0,0088;0,0670;0,0217;0,0086;0,0796;0,0443;0,0077;0,0032;0,0447;0,0656;0,0007;0,0002;;finest;0,4273;189,20;1;0;0;0;0;0;0;0;0
127;Congosto;42,80;6414;16174;2,5;13276,20;34164,51;0,1310;0,1504;0,6764;0,1592;210,01;0,0893;0,0920;0,0712;0,0227;0,0268;0,0038;0,1410;0,1122;0,0743;0,0626;0,0095;0,0699;0,0275;0,0054;0,0669;0,0431;0,0054;0,0033;0,0266;0,0317;0,0003;0,0003;;labest;0,4396;131,50;1;0;0;0;0;0;0;0;0
128;La Gavia;36,70;3489;8872;2,5;16492,26;42518,20;0,1120;0,2349;0,6846;0,0752;115,56;0,1138;0,1282;0,0263;0,0113;0,0371;0,0095;0,1502;0,0516;0,1167;0,1306;0,0177;0,0423;0,0282;0,0071;0,0462;0,0280;0,0040;0,0032;0,0213;0,0207;0,0003;0,0004;;labest;0,4380;105,89;1;0;0;0;0;0;0;0;0
129;Las Suertes;36,05;4498;10915;2,4;15046,50;39053,26;0,1781;0,2179;0,7265;0,0558;148,37;0,1092;0,1236;0,0216;0,0106;0,0411;0,0066;0,1750;0,0383;0,1097;0,0986;0,0220;0,0480;0,0293;0,0100;0,0504;0,0384;0,0070;0,0029;0,0242;0,0324;0,0000;0,0012;;finest;0,4631;186,72;1;0;0;0;0;0;0;0;0
130;Valdecarros;35,15;3867;8522;2,2;15482,19;37564,12;0,1795;0,2287;0,7255;0,0463;119,19;0,1199;0,1375;0,0167;0,0087;0,0414;0,0071;0,1871;0,0295;0,1106;0,0991;0,0249;0,0405;0,0286;0,0101;0,0452;0,0302;0,0068;0,0035;0,0208;0,0307;0,0001;0,0017;;labest;0,4645;94,26;1;0;0;0;0;0;0;0;0
151;Chamartín;45,01;3021;7154;2,4;26574,33;63872,69;0,1371;0,1311;0,6466;0,2079;93,42;0,1144;0,1050;0,0876;0,0330;0,0125;0,0060;0,1299;0,1245;0,0419;0,0453;0,0253;0,0460;0,0097;0,0061;0,0778;0,0409;0,0067;0,0002;0,0309;0,0408;0,0007;0,0004;;finvol;0,4073;561,67;2;9;2;0;1;0;0;0;0
152;Bambú;43,91;2108;5769;2,7;28654,28;79865,69;0,1184;0,1327;0,6539;0,2139;74,44;0,1051;0,0964;0,0815;0,0300;0,0126;0,0052;0,1189;0,1373;0,0434;0,0438;0,0280;0,0595;0,0106;0,0075;0,0854;0,0483;0,0086;0,0018;0,0312;0,0438;0,0007;0,0011;;labest;0,3866;88,61;1;0;0;0;0;0;0;0;0
153;Pinar de Chamartín;45,51;6765;17312;2,6;24627,40;64592,72;0,0834;0,1330;0,6380;0,2266;225,18;0,0686;0,0672;0,1033;0,0318;0,0170;0,0064;0,1040;0,1558;0,0454;0,0494;0,0210;0,0660;0,0165;0,0082;0,0787;0,0639;0,0096;0,0026;0,0318;0,0490;0,0003;0,0009;;labest;0,4037;344,05;3;0;0;0;0;0;0;0;0
201;Ventas;46,51;8637;19024;2,2;21838,00;49584,76;0,1499;0,1001;0,6337;0,2352;249,06;0,1161;0,0968;0,1163;0,0365;0,0139;0,0021;0,1295;0,1298;0,0440;0,0367;0,0068;0,0466;0,0123;0,0029;0,0734;0,0358;0,0036;0,0005;0,0309;0,0334;0,0010;0,0002;LVES;evento;0,4128;258,68;2;0;0;0;0;0;1;0;0
