fid,COD_SEC,Densidad,Edad_Prome,area_m2,renta_med_persona,renta_med_hog,pob_sec_tot,per_hog_med,Código_es,nombre_est,area_trocito,por_troc_sec,por_tro_buf,hog_sec,por_hog_1,por_hog_2,por_hog_3,por_hog_4,por_hog_5,pog_hog_6,por_hog_7,por_hog_8,por_hog_9,por_hog_10,por_hog_11,por_hog_12,por_hog_13,por_hog_14,por_hog_15,por_hog_16,por_hog_17,por_hog_18,por_hog_19,por_hog_20,por_hog_21,por_hog_22,hog_troc,pob_troc,por_pob15,por_pob65,por_pob16_64,por_pob_ext
"2748","10143",257.25078194,45.60812721,55043.016,"14481","37645","1356",2.597701149,"529",Campamento,45448.5304590089,0.825691136892079,0.0578668664808291,"536",0.0652985074626866,0.0671641791044776,0.123134328358209,0.0279850746268657,0.0149253731343284,0.00746268656716418,0.123134328358209,0.164179104477612,0.0578358208955224,0.0335820895522388,0.00559701492537313,0.041044776119403,0.0186567164179104,0.00559701492537313,0.0783582089552239,0.042910447761194,0.00746268656716418,0.00746268656716418,0.0466417910447761,0.0615671641791045,0,0,"443","1120",0.1272084806,0.228975265,0.6438162544,0.2176678445
"2749","10144",394.19811238,40.10809249,43917.104,"9775","26900","1585",2.775831874,"529",Campamento,39564.2060877541,0.900883767011461,0.0503747119648894,"604",0.0877483443708609,0.0910596026490066,0.0943708609271523,0.0314569536423841,0.0231788079470199,0.00496688741721854,0.129139072847682,0.110927152317881,0.0413907284768212,0.0198675496688742,0.00827814569536424,0.0662251655629139,0.0165562913907285,0.00827814569536424,0.0562913907284768,0.0264900662251656,0.0149006622516556,0.00827814569536424,0.0529801324503311,0.107615894039735,0,0,"544","1428",0.1450867052,0.136416185,0.7184971098,0.410982659
"2750","10144",394.19811238,40.10809249,43917.104,"9775","26900","1585",2.775831874,"1016",Colonia Jardín,9355.10960976442,0.21301745237492,0.0119112955520095,"604",0.0877483443708609,0.0910596026490066,0.0943708609271523,0.0314569536423841,0.0231788079470199,0.00496688741721854,0.129139072847682,0.110927152317881,0.0413907284768212,0.0198675496688742,0.00827814569536424,0.0662251655629139,0.0165562913907285,0.00827814569536424,0.0562913907284768,0.0264900662251656,0.0149006622516556,0.00827814569536424,0.0529801324503311,0.107615894039735,0,0,"129","338",0.1450867052,0.136416185,0.7184971098,0.410982659
"2751","10145",339.76018053,45.00179426,49245.416,"12204","32725","1591",2.669463087,"529",Campamento,32263.4814002486,0.655157048531149,0.0410791405473226,"607",0.0543657331136738,0.0741350906095552,0.123558484349259,0.0329489291598023,0.0115321252059308,0.00164744645799012,0.0922570016474465,0.186161449752883,0.0494233937397035,0.014827018121911,0.0131795716639209,0.0527182866556837,0.0115321252059308,0.00494233937397035,0.0939044481054366,0.0395387149917628,0.00823723228995058,0.00329489291598023,0.0477759472817133,0.0823723228995058,0,0.00164744645799012,"398","1042",0.1220095694,0.2266746411,0.6513157895,0.3199760766
"2752","10145",339.76018053,45.00179426,49245.416,"12204","32725","1591",2.669463087,"1016",Colonia Jardín,19259.1837404352,0.391085816808516,0.024521554443717,"607",0.0543657331136738,0.0741350906095552,0.123558484349259,0.0329489291598023,0.0115321252059308,0.00164744645799012,0.0922570016474465,0.186161449752883,0.0494233937397035,0.014827018121911,0.0131795716639209,0.0527182866556837,0.0115321252059308,0.00494233937397035,0.0939044481054366,0.0395387149917628,0.00823723228995058,0.00329489291598023,0.0477759472817133,0.0823723228995058,0,0.00164744645799012,"237","622",0.1220095694,0.2266746411,0.6513157895,0.3199760766
"2753","10146",252.88637034,46.83039349,58327.548,"11665","31495","1431",2.762548263,"529",Campamento,22163.7118749516,0.379987032455944,0.0282197145393766,"532",0.0695488721804511,0.0864661654135338,0.0958646616541353,0.0357142857142857,0.0131578947368421,0,0.0996240601503759,0.172932330827068,0.0526315789473684,0.0169172932330827,0.0037593984962406,0.0676691729323308,0.0150375939849624,0.0093984962406015,0.0733082706766917,0.0281954887218045,0.0037593984962406,0.0037593984962406,0.0582706766917293,0.0902255639097744,0.0018796992481203,0.0018796992481203,"202","544",0.105834464,0.2347354138,0.6594301222,0.3005427408
"2754","10146",252.88637034,46.83039349,58327.548,"11665","31495","1431",2.762548263,"1016",Colonia Jardín,58327.5480398731,1.00000000068361,0.0742649410330591,"532",0.0695488721804511,0.0864661654135338,0.0958646616541353,0.0357142857142857,0.0131578947368421,0,0.0996240601503759,0.172932330827068,0.0526315789473684,0.0169172932330827,0.0037593984962406,0.0676691729323308,0.0150375939849624,0.0093984962406015,0.0733082706766917,0.0281954887218045,0.0037593984962406,0.0037593984962406,0.0582706766917293,0.0902255639097744,0.0018796992481203,0.0018796992481203,"532","1431",0.105834464,0.2347354138,0.6594301222,0.3005427408
"2755","10147",417.04996336,42.10775623,43310.273,"10440","28674","1642",2.755033557,"529",Campamento,43310.2730411766,1.00000000095074,0.0551443525678448,"620",0.067741935483871,0.0774193548387097,0.112903225806452,0.0338709677419355,0.0225806451612903,0.00483870967741936,0.112903225806452,0.119354838709677,0.0387096774193548,0.0241935483870968,0.00483870967741936,0.0467741935483871,0.0306451612903226,0.0145161290322581,0.0838709677419355,0.0241935483870968,0.00967741935483871,0.00806451612903226,0.0564516129032258,0.104838709677419,0.00161290322580645,0,"620","1642",0.1279778393,0.1606648199,0.7113573408,0.4121883657
"2756","10147",417.04996336,42.10775623,43310.273,"10440","28674","1642",2.755033557,"1016",Colonia Jardín,43310.2730411766,1.00000000095074,0.0551443525678448,"620",0.067741935483871,0.0774193548387097,0.112903225806452,0.0338709677419355,0.0225806451612903,0.00483870967741936,0.112903225806452,0.119354838709677,0.0387096774193548,0.0241935483870968,0.00483870967741936,0.0467741935483871,0.0306451612903226,0.0145161290322581,0.0838709677419355,0.0241935483870968,0.00967741935483871,0.00806451612903226,0.0564516129032258,0.104838709677419,0.00161290322580645,0,"620","1642",0.1279778393,0.1606648199,0.7113573408,0.4121883657
"2757","10148",328.43995483,41.45110316,51095.033,"9251","26463","1582",2.886861314,"529",Campamento,50594.8077870551,0.990209905276999,0.064419310311416,"581",0.0705679862306368,0.0826161790017212,0.0946643717728055,0.0378657487091222,0.0137693631669535,0,0.130808950086059,0.120481927710843,0.0413080895008606,0.0258175559380379,0.00688468158347676,0.0499139414802065,0.0275387263339071,0.00172117039586919,0.104991394148021,0.0240963855421687,0.0103270223752151,0.00516351118760757,0.0481927710843374,0.101549053356282,0.00172117039586919,0,"575","1567",0.129397734,0.1466905188,0.7239117472,0.4001192606
"2758","10148",328.43995483,41.45110316,51095.033,"9251","26463","1582",2.886861314,"1016",Colonia Jardín,51095.0327317882,0.999999994750727,0.0650562164950682,"581",0.0705679862306368,0.0826161790017212,0.0946643717728055,0.0378657487091222,0.0137693631669535,0,0.130808950086059,0.120481927710843,0.0413080895008606,0.0258175559380379,0.00688468158347676,0.0499139414802065,0.0275387263339071,0.00172117039586919,0.104991394148021,0.0240963855421687,0.0103270223752151,0.00516351118760757,0.0481927710843374,0.101549053356282,0.00172117039586919,0,"581","1582",0.129397734,0.1466905188,0.7239117472,0.4001192606
"2759","10149",425.3652559,43.25724466,49521.247,"10613","29817","2024",2.8033241,"529",Campamento,22701.7429927029,0.458424300032325,0.0289047570377589,"760",0.0776315789473684,0.0894736842105263,0.126315789473684,0.0328947368421053,0.0131578947368421,0.00263157894736842,0.0868421052631579,0.134210526315789,0.0315789473684211,0.0368421052631579,0.00657894736842105,0.0473684210526316,0.0263157894736842,0.0131578947368421,0.0881578947368421,0.0315789473684211,0.00394736842105263,0.00131578947368421,0.0486842105263158,0.1,0,0.00131578947368421,"348","928",0.1306413302,0.190023753,0.6793349168,0.3947743468
"2760","10149",425.3652559,43.25724466,49521.247,"10613","29817","2024",2.8033241,"1016",Colonia Jardín,49521.2473557396,1.00000000718357,0.0630524107106892,"760",0.0776315789473684,0.0894736842105263,0.126315789473684,0.0328947368421053,0.0131578947368421,0.00263157894736842,0.0868421052631579,0.134210526315789,0.0315789473684211,0.0368421052631579,0.00657894736842105,0.0473684210526316,0.0263157894736842,0.0131578947368421,0.0881578947368421,0.0315789473684211,0.00394736842105263,0.00131578947368421,0.0486842105263158,0.1,0,0.00131578947368421,"760","2024",0.1306413302,0.190023753,0.6793349168,0.3947743468
"2761","10151",280.86820091,44.22505092,69974.558,"12823","33602","1829",2.612857143,"1016",Colonia Jardín,69974.558129426,1.00000000184961,0.0890943749211559,"730",0.0849315068493151,0.073972602739726,0.116438356164384,0.0424657534246575,0.0136986301369863,0,0.119178082191781,0.145205479452055,0.0465753424657534,0.0273972602739726,0.00821917808219178,0.0465753424657534,0.010958904109589,0.00958904109589041,0.0684931506849315,0.036986301369863,0.00547945205479452,0.00821917808219178,0.0452054794520548,0.0904109589041096,0,0,"730","1829",0.1206720978,0.200610998,0.6787169042,0.3223014257
"2762","10152",50.33284224,48.41245376,161239.081,"19297","47463","793",2.447530864,"1016",Colonia Jardín,144035.193468901,0.89330199958719,0.183391304951492,"327",0.0489296636085627,0.0642201834862385,0.103975535168196,0.0642201834862385,0.0152905198776758,0.00305810397553517,0.0917431192660551,0.180428134556575,0.0519877675840979,0.0581039755351682,0.0152905198776758,0.0825688073394495,0.0244648318042813,0.00305810397553517,0.0856269113149847,0.0397553516819572,0.0122324159021407,0,0.0214067278287462,0.0336391437308868,0,0,"292","708",0.130702836,0.2737361282,0.5955610358,0.0678175092
