Fecha,Temperatura Máxima (°C),Temperatura Media (°C),Temperatura Mínima (°C),Precipitaciones (mm),Velocidad Media Viento (km/h),Humedad Relativa Media (%)
2015-11-27,N/A,N/A,N/A,N/A,N/A,66
2015-11-28,N/A,N/A,N/A,"0,0",N/A,69
2015-11-29,N/A,N/A,N/A,"0,0",N/A,68
2015-11-30,N/A,N/A,N/A,"0,0",N/A,61
2015-12-01,N/A,N/A,N/A,N/A,N/A,60
2015-12-02,N/A,N/A,N/A,N/A,N/A,67
2015-12-03,N/A,N/A,N/A,"0,0",N/A,71
2015-12-04,N/A,N/A,N/A,"0,0",N/A,74
2015-12-05,N/A,N/A,N/A,"0,0",N/A,71
2015-12-06,N/A,N/A,N/A,"0,0",N/A,71
2015-12-07,N/A,N/A,N/A,"0,0",N/A,86
2015-12-08,N/A,N/A,N/A,"0,0",N/A,84
2015-12-09,N/A,N/A,N/A,"0,0",N/A,80
2015-12-11,N/A,N/A,N/A,N/A,N/A,79
2015-12-12,N/A,N/A,N/A,"0,0",N/A,80
2015-12-13,N/A,N/A,N/A,N/A,N/A,81
2015-12-14,N/A,N/A,N/A,N/A,N/A,86
2015-12-15,N/A,N/A,N/A,"0,0",N/A,84
2015-12-16,N/A,N/A,N/A,"0,0",N/A,83
2015-12-17,N/A,N/A,N/A,"0,0",N/A,78
2015-12-18,N/A,N/A,N/A,"0,0",N/A,78
2015-12-19,N/A,N/A,N/A,"0,0",N/A,75
2015-12-20,N/A,N/A,N/A,"0,0",N/A,73
2015-12-28,N/A,N/A,N/A,"2,6",N/A,86
2015-12-29,N/A,N/A,N/A,"0,0",N/A,94
2015-12-31,N/A,N/A,N/A,"1,0",N/A,95
2016-01-01,N/A,N/A,N/A,"4,2",N/A,95
2016-01-02,N/A,N/A,N/A,"0,7",N/A,75
2016-01-03,N/A,N/A,N/A,"0,2",N/A,97
2016-01-04,N/A,N/A,N/A,N/A,N/A,89
2016-01-09,N/A,N/A,N/A,"0,2",N/A,N/A
2016-01-10,N/A,N/A,N/A,"10,8",N/A,87
2016-01-11,N/A,N/A,N/A,"0,2",N/A,66
2016-01-12,N/A,N/A,N/A,"0,0",N/A,71
2016-01-13,N/A,N/A,N/A,"0,8",N/A,79
2016-01-14,N/A,N/A,N/A,"1,4",N/A,98
2016-01-15,N/A,N/A,N/A,N/A,N/A,68
2016-01-17,N/A,N/A,N/A,N/A,N/A,72
2016-01-19,N/A,N/A,N/A,N/A,N/A,79
2016-01-20,N/A,N/A,N/A,"0,0",N/A,87
2016-01-21,N/A,N/A,N/A,"0,0",N/A,92
2016-01-22,N/A,N/A,N/A,"0,4",N/A,93
2016-01-23,N/A,N/A,N/A,"0,0",N/A,83
2016-01-24,N/A,N/A,N/A,"0,0",N/A,80
2016-01-25,N/A,N/A,N/A,"0,0",N/A,82
2016-01-26,N/A,N/A,N/A,"0,0",N/A,81
2016-01-27,N/A,N/A,N/A,"0,0",N/A,99
2016-01-28,N/A,N/A,N/A,"2,0",N/A,94
2016-01-29,N/A,N/A,N/A,"0,0",N/A,85
2016-01-30,N/A,N/A,N/A,"0,0",N/A,78
2016-01-31,N/A,N/A,N/A,"0,0",N/A,81
2016-02-01,N/A,N/A,N/A,"0,0",N/A,79
2016-02-02,N/A,N/A,N/A,"0,0",N/A,86
2016-02-03,N/A,N/A,N/A,"0,0",N/A,63
2016-02-04,N/A,N/A,N/A,"0,0",N/A,68
2016-02-05,N/A,N/A,N/A,"0,0",N/A,76
2016-02-06,N/A,N/A,N/A,"9,0",N/A,83
2016-02-07,N/A,N/A,N/A,"0,0",N/A,64
2016-02-08,N/A,N/A,N/A,N/A,N/A,79
2016-02-09,N/A,N/A,N/A,"0,0",N/A,82
2016-02-10,N/A,N/A,N/A,N/A,N/A,83
2016-02-11,N/A,N/A,N/A,"0,8",N/A,77
2016-02-12,N/A,N/A,N/A,"5,6",N/A,94
2016-02-13,N/A,N/A,N/A,"2,0",N/A,90
2016-02-14,N/A,N/A,N/A,"0,0",N/A,64
2016-02-15,N/A,N/A,N/A,"0,0",N/A,57
2016-02-16,N/A,N/A,N/A,"0,0",N/A,47
2016-02-17,N/A,N/A,N/A,"0,8",N/A,63
2016-02-18,N/A,N/A,N/A,"0,0",N/A,70
2016-02-19,N/A,N/A,N/A,"0,0",N/A,57
2016-02-20,N/A,N/A,N/A,"0,0",N/A,57
2016-02-21,N/A,N/A,N/A,"0,0",N/A,58
2016-02-22,N/A,N/A,N/A,"0,0",N/A,59
2016-02-23,N/A,N/A,N/A,"0,0",N/A,65
2016-02-24,N/A,N/A,N/A,"1,2",N/A,86
2016-02-25,N/A,N/A,N/A,"0,0",N/A,67
2016-02-26,N/A,N/A,N/A,"4,0",N/A,92
2016-02-27,N/A,N/A,N/A,"0,0",N/A,62
2016-02-28,N/A,N/A,N/A,"0,0",N/A,63
2016-02-29,N/A,N/A,N/A,"0,0",N/A,48
2016-03-01,N/A,N/A,N/A,"0,0",N/A,50
2016-03-02,N/A,N/A,N/A,"0,0",N/A,64
2016-03-03,N/A,N/A,N/A,"0,0",N/A,62
2016-03-04,N/A,N/A,N/A,"1,6",N/A,70
2016-03-05,N/A,N/A,N/A,"0,2",N/A,66
2016-03-06,N/A,N/A,N/A,"1,2",N/A,62
2016-03-07,N/A,N/A,N/A,"1,6",N/A,66
2016-03-08,N/A,N/A,N/A,"0,0",N/A,54
2016-03-09,N/A,N/A,N/A,"0,0",N/A,63
2016-03-10,N/A,N/A,N/A,"0,0",N/A,55
2016-03-11,N/A,N/A,N/A,"0,0",N/A,46
2016-03-12,N/A,N/A,N/A,"0,0",N/A,60
2016-03-13,N/A,N/A,N/A,"0,0",N/A,52
2016-03-14,N/A,N/A,N/A,"0,0",N/A,48
2016-03-15,N/A,N/A,N/A,"0,0",N/A,56
2016-03-16,N/A,N/A,N/A,"0,0",N/A,52
2016-03-17,N/A,N/A,N/A,"0,0",N/A,54
2016-03-18,N/A,N/A,N/A,"7,2",N/A,62
2016-03-19,N/A,N/A,N/A,"1,0",N/A,83
2016-03-20,N/A,N/A,N/A,"0,0",N/A,78
2016-03-21,N/A,N/A,N/A,"18,0",N/A,77
2016-03-22,N/A,N/A,N/A,N/A,N/A,68
2016-03-23,N/A,N/A,N/A,"0,0",N/A,64
2016-03-24,N/A,N/A,N/A,"0,0",N/A,57
2016-03-25,N/A,N/A,N/A,"0,0",N/A,66
2016-03-26,N/A,N/A,N/A,"0,6",N/A,78
2016-03-27,N/A,N/A,N/A,"0,2",N/A,51
2016-03-28,N/A,N/A,N/A,"0,0",N/A,73
2016-03-29,N/A,N/A,N/A,"0,0",N/A,62
2016-03-30,N/A,N/A,N/A,"0,4",N/A,58
2016-03-31,N/A,N/A,N/A,"0,0",N/A,60
2016-04-01,N/A,N/A,N/A,"0,0",N/A,45
2016-04-02,N/A,N/A,N/A,"0,0",N/A,56
2016-04-03,N/A,N/A,N/A,"7,0",N/A,71
2016-04-04,N/A,N/A,N/A,"16,4",N/A,97
2016-04-05,N/A,N/A,N/A,"0,0",N/A,57
2016-04-06,N/A,N/A,N/A,"0,0",N/A,56
2016-04-07,N/A,N/A,N/A,"0,0",N/A,61
2016-04-08,N/A,N/A,N/A,"0,0",N/A,45
2016-04-09,N/A,N/A,N/A,"0,0",N/A,60
2016-04-10,N/A,N/A,N/A,"2,0",N/A,70
2016-04-11,N/A,N/A,N/A,"6,4",N/A,78
2016-04-12,N/A,N/A,N/A,"9,2",N/A,90
2016-04-13,N/A,N/A,N/A,"0,0",N/A,66
2016-04-14,N/A,N/A,N/A,"0,0",N/A,69
