Fecha,Temperatura Máxima (°C),Temperatura Media (°C),Temperatura Mínima (°C),Precipitaciones (mm),Velocidad Media Viento (km/h),Humedad Relativa Media (%)
2015-09-14,"24,7","19,6","14,6","0,0","5,3",45
2015-09-15,"21,2","17,8","14,4","0,8","4,7",49
2015-09-16,"23,3","19,4","15,4","15,3","8,3",77
2015-09-17,"21,4","16,3","11,2","0,0","3,6",46
2015-09-18,"24,6","16,1","7,6","0,0","1,9",46
2015-09-19,"26,8","18,0","9,3","0,0","1,9",44
2015-09-20,"28,8","19,0","9,1","0,0","2,8",42
2015-09-21,"29,8","20,2","10,6","0,0","3,3",36
2015-09-22,"30,1","19,8","9,5","0,0","3,9",33
2015-09-23,"25,3","18,6","11,8","0,0","3,3",42
2015-09-24,"29,5","20,1","10,7","0,0","2,5",39
2015-09-25,"30,4","20,4","10,3","0,0","2,2",26
2015-09-26,"29,6","20,6","11,5","0,0","1,7",30
2015-09-27,"29,1","21,3","13,5","0,1","2,2",37
2015-09-28,"26,1","18,1","10,1","0,0","1,7",46
2015-09-29,"25,0","17,8","10,6","0,0","2,5",53
2015-09-30,"24,4","18,8","13,2","0,0","2,8",52
2015-10-01,"26,0","17,5","9,0","0,0","3,9",44
2015-10-02,"25,8","17,9","10,0","0,0","4,2",36
2015-10-03,"25,7","20,4","15,2","0,2","3,1",43
2015-10-04,"22,3","18,2","14,0","2,3","4,2",70
2015-10-05,"24,4","20,6","16,7","20,1","8,6",66
2015-10-06,"21,8","17,8","13,8","0,0","6,9",66
2015-10-07,"22,0","16,4","10,9","0,0","1,7",58
2015-10-08,"22,9","16,2","9,4","0,0","1,7",52
2015-10-09,"23,1","15,3","7,5","0,0","2,5",55
2015-10-10,"23,4","15,4","7,5","2,0","3,1",60
2015-10-11,"21,6","17,8","14,0",Ip,"3,6",72
2015-10-12,"23,4","18,7","14,0","0,0","2,2",70
2015-10-13,"15,8","12,4","9,0","1,4","2,2",82
2015-10-14,"19,1","12,1","5,1","0,0","1,7",62
2015-10-15,"21,2","12,4","3,5","0,0","1,7",52
2015-10-16,"22,8","13,2","3,7","0,0","0,8",53
2015-10-17,"22,3","15,8","9,3","9,9","3,1",73
2015-10-18,"19,0","16,0","13,0","16,9","2,2",88
2015-10-19,"20,9","17,2","13,5","0,6","2,2",80
2015-10-20,"20,5","15,6","10,6","0,0","2,5",56
2015-10-21,"19,1","12,2","5,4","0,0","1,1",60
2015-10-22,"21,1","12,7","4,3","0,0","1,7",58
